City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
120,alyangula,92,AU,1525146004,91,-13.85,136.42,84.42,12.21
121,hithadhoo,80,MV,1525145741,99,-0.6,73.08,85.23,17.25
122,nkoteng,88,CM,1525146172,97,4.5,12.12,72.09,4.61
123,okhotsk,76,RU,1525145940,71,59.36,143.24,39.78,2.59
124,victoria,75,BN,1525141800,79,5.28,115.24,87.8,3.36
125,alofi,40,NU,1525143600,74,-19.06,-169.92,84.2,8.05
126,jamestown,64,AU,1525145558,30,-33.21,138.6,68.31,9.42
127,sept-iles,75,CA,1525143600,77,50.2,-66.38,37.4,6.93
128,port alfred,0,ZA,1525145646,91,-33.59,26.89,66.06,15.12
129,mareeba,75,AU,1525143600,54,-16.99,145.42,82.4,13.87
130,harper,90,US,1525144500,88,30.3,-99.24,69.8,6.93
131,wuwei,24,CN,1525146174,47,37.93,102.64,53.46,7.4
132,sechura,36,PE,1525146174,76,-5.56,-80.82,71.82,10.2
133,yakeshi,64,CN,1525146175,43,49.28,120.73,49.95,5.61
134,qaanaaq,0,GL,1525145693,73,77.48,-69.36,-3.42,6.4
135,kefamenanu,24,ID,1525146175,42,-9.45,124.48,84.33,0.47
136,anadyr,20,RU,1525143600,86,64.73,177.51,26.6,17.9
137,georgetown,40,GY,1525143600,100,6.8,-58.16,75.2,3.36
138,kaitangata,92,NZ,1525145678,89,-46.28,169.85,54.45,22.17
139,turukhansk,64,RU,1525145630,100,65.8,87.96,27.36,18.48
140,saint anthony,90,US,1525143900,93,43.97,-111.68,39.2,6.93
141,kishtwar,0,IN,1525146177,44,33.31,75.77,47.07,1.7
142,takoradi,48,GH,1525145684,100,4.89,-1.75,80.82,6.17
143,la ronge,20,CA,1525143600,32,55.1,-105.3,41.0,5.82
144,yulara,0,AU,1525143600,18,-25.24,130.99,82.4,9.17
145,nhulunbuy,75,AU,1525143600,62,-12.18,136.78,86.0,16.11
146,kotelnich,24,RU,1525146178,93,58.31,48.34,37.08,4.72
147,arraial do cabo,0,BR,1525145694,95,-22.97,-42.02,72.63,11.65
148,gat,0,SN,1525143600,60,14.69,-16.54,73.4,6.93
149,forio,75,IT,1525143300,87,40.73,13.86,60.8,0.47
150,ribeira grande,76,PT,1525145666,100,38.52,-28.7,61.47,12.21
151,leningradskiy,36,RU,1525145735,100,69.38,178.42,19.62,20.49
152,florence,1,US,1525144500,62,34.8,-87.68,57.2,6.06
153,provideniya,0,RU,1525143600,58,64.42,-173.23,28.4,15.66
154,yerbogachen,0,RU,1525145895,48,61.28,108.01,52.2,10.54
155,ossora,76,RU,1525146181,100,59.24,163.07,30.96,4.05
156,moissala,0,TD,1525146182,73,8.34,17.77,75.06,8.75
157,chabahar,12,IR,1525146182,83,25.29,60.65,84.96,12.44
158,patnos,0,TR,1525143000,75,39.23,42.86,57.2,6.93
159,kavieng,64,PG,1525145792,100,-2.57,150.8,82.53,1.92
160,bosaso,12,SO,1525146184,100,11.28,49.18,81.18,7.18
161,kununurra,0,AU,1525141800,27,-15.77,128.74,91.4,8.05
162,kitimat,75,CA,1525143600,61,54.02,-128.69,48.2,16.11
163,fayaoue,0,NC,1525146185,100,-20.65,166.53,77.58,14.23
164,souillac,0,FR,1525143600,93,45.6,-0.6,46.4,0.92
165,hovd,0,NO,1525143000,52,63.83,10.7,41.0,6.93
166,axim,88,GH,1525145754,99,4.87,-2.24,82.44,9.53
167,cordoba,68,CO,1525146186,92,5.59,-73.79,52.56,1.48
168,seidu,8,NG,1525146187,77,8.32,4.47,76.14,9.75
169,puri,0,ID,1525146187,64,-7.54,112.45,84.6,3.38
170,kaeo,24,NZ,1525145800,72,-35.1,173.78,65.16,11.65
171,diu,0,IN,1525146187,81,20.71,70.98,81.9,6.17
172,sinegorye,64,RU,1525146188,79,62.09,150.53,24.3,2.71
173,boende,88,CD,1525145948,99,-0.28,20.88,71.1,2.59
174,boyuibe,8,BO,1525146189,76,-20.43,-63.28,74.34,9.64
175,bajos de haina,40,DO,1525143600,88,18.41,-70.03,75.2,4.7
176,hirara,75,JP,1525143600,74,24.8,125.28,82.4,10.29
177,nagarote,20,NI,1525143600,66,12.26,-86.56,84.2,11.41
178,dekar,12,BW,1525146190,47,-21.53,21.93,56.52,8.41
179,filadelfia,80,PY,1525146190,52,-22.35,-60.04,83.34,7.18
180,claremore,1,US,1525144500,52,36.31,-95.62,73.4,9.17
181,la rioja,68,AR,1525146191,75,-29.41,-66.86,66.06,4.61
182,vega de alatorre,76,MX,1525146191,97,20.03,-96.65,73.62,3.38
183,antanifotsy,64,MG,1525146192,95,-19.66,47.32,45.36,0.69
184,talnakh,88,RU,1525145680,95,69.49,88.39,13.77,20.49
185,hobyo,68,SO,1525145853,93,5.35,48.53,79.83,15.12
186,port hardy,75,CA,1525143600,70,50.7,-127.42,48.2,11.41
187,nikolskoye,0,RU,1525143600,87,59.7,30.79,42.8,8.95
188,cruzeiro do sul,0,BR,1525143600,94,-7.63,-72.67,73.4,3.36
189,san javier,20,ES,1525143600,62,37.81,-0.83,51.8,9.17
190,kosai,75,JP,1525143600,68,34.71,137.53,69.8,4.7
191,richards bay,88,ZA,1525146194,100,-28.77,32.06,63.99,2.59
192,ugoofaaru,80,MV,1525145972,100,5.67,73.0,83.52,5.39
193,tariba,40,VE,1525143600,89,7.82,-72.22,80.6,0.69
194,saint-andre-les-vergers,0,FR,1525143600,93,48.29,4.05,37.4,3.36
195,taiyuan,32,CN,1525143600,55,37.86,112.56,66.2,2.24
196,zorritos,90,PE,1525143600,83,-3.68,-80.68,77.0,4.7
197,saint-philippe,90,CA,1525144500,100,45.36,-73.48,48.2,6.62
198,portland,40,US,1525143360,62,45.52,-122.67,55.4,8.05
199,krasnopillya,0,UA,1525146197,62,50.77,35.26,51.48,4.05
200,contepec,64,MX,1525146197,56,19.95,-100.16,57.78,2.15
201,raudeberg,68,NO,1525143000,61,61.99,5.14,48.2,6.93
202,cabo rojo,5,PR,1525143000,88,18.09,-67.15,73.4,8.05
203,khor,0,RU,1525146198,43,47.88,134.96,56.88,4.61
204,abalak,0,NE,1525145676,44,15.46,6.28,75.06,4.5
205,benemerito de las americas,64,MX,1525146198,81,16.52,-90.64,76.68,1.36
206,saint-georges,80,CA,1525146199,98,46.12,-70.67,40.86,3.71
207,komsomolskiy,80,RU,1525146199,93,67.55,63.78,22.41,13.78
208,lusambo,76,CD,1525146200,94,-4.97,23.44,72.27,2.04
209,kahului,40,US,1525143360,69,20.89,-156.47,75.2,10.29
210,anloga,20,GH,1525143600,88,5.79,0.9,80.6,4.7
211,trairi,68,BR,1525145737,100,-3.28,-39.27,76.86,10.76
212,sao sepe,0,BR,1525143600,93,-30.16,-53.57,66.2,3.36
213,goderich,0,CA,1525146201,58,43.74,-81.71,44.91,8.63
214,te anau,92,NZ,1525145892,97,-45.41,167.72,49.86,3.49
215,geilo,92,NO,1525146201,91,60.53,8.21,29.61,6.17
216,yarada,0,IN,1525146202,98,17.65,83.27,85.05,10.65
217,nalut,0,LY,1525146202,38,31.86,10.98,64.8,15.01
218,prince rupert,90,CA,1525143600,87,54.32,-130.32,44.6,5.82
219,natal,40,BR,1525143600,94,-5.81,-35.21,75.2,3.36
220,sao filipe,44,CV,1525145988,97,14.9,-24.5,71.01,19.26
221,tawau,75,MY,1525143600,74,4.26,117.89,87.8,6.93
222,lahaina,40,US,1525143360,69,20.87,-156.68,75.2,6.62
223,ulladulla,0,AU,1525143600,27,-35.36,150.48,75.2,5.82
224,nadym,0,RU,1525146204,85,65.53,72.51,10.89,5.5
225,saint-joseph,0,FR,1525143600,81,43.56,6.97,53.6,3.36
226,baiyin,40,CN,1525143600,41,36.55,104.13,57.2,6.71
227,alekseyevka,20,RU,1525143600,82,53.25,50.49,55.4,11.18
228,aswan,92,EG,1525140000,22,24.09,32.9,86.0,9.08
229,vila franca do campo,20,PT,1525143600,82,37.72,-25.43,59.0,6.93
230,sarreguemines,75,FR,1525145760,80,49.11,7.07,42.8,13.87
231,nome,1,US,1525144500,83,30.04,-94.42,71.6,4.7
232,clyde river,90,CA,1525145340,92,70.47,-68.59,14.0,11.41
233,seoul,75,KR,1525143360,73,37.57,126.98,75.2,1.7
234,the valley,40,AI,1525143600,74,18.22,-63.06,80.6,10.29
235,yumen,0,CN,1525146207,33,40.29,97.04,56.52,10.09
236,sakyla,92,FI,1525143000,75,61.03,22.33,46.4,5.82
237,port elizabeth,1,US,1525143360,81,39.31,-74.98,57.2,4.7
238,senneterre,75,CA,1525143600,30,48.39,-77.24,42.8,4.7
239,chivilcoy,0,AR,1525146208,90,-34.9,-60.02,54.0,12.21
240,dukat,0,RS,1525146209,91,42.44,22.31,47.52,0.47
241,flinders,0,AU,1525140000,46,-34.58,150.85,71.6,3.36
242,oussouye,0,SN,1525143600,83,12.49,-16.54,69.8,6.93
243,chalus,75,IR,1525143600,76,36.66,51.42,55.4,4.7
244,saldanha,0,PT,1525145636,94,41.42,-6.55,31.5,2.71
245,dikson,68,RU,1525145715,100,73.51,80.55,8.91,5.61
